Dataset,Model,|BatchSize,Lr,N_past,Hidden_size,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TestLoss,Train_days,Num_frozen,Type
ROBOD,LSTM,256,0.05,10,32,77777,19,0.758014,0.4667,0.859943,0.345,0.361683993,0.825936759,0.190870979,5,0,Transfer
ROBOD,LSTM,256,0.05,10,32,888888,1,0.796604,0.3883,0.86175,0.3514,0.401423867,0.826038776,0.574167667,5,0,Transfer
ROBOD,LSTM,256,0.05,10,32,999999999,1,0.721666,0.477,0.852575,0.3769,0.422216719,0.816527282,0.641650015,5,0,Transfer
ROBOD,LSTM,256,0.15,10,32,1111,25,0.838672,0.3292,0.824896,0.3741,0.343789528,0.75447949,0.428627862,5,2,Transfer
ROBOD,LSTM,256,0.15,10,32,22,24,0.835924,0.3326,0.828803,0.374,0.345758437,0.762829885,0.42476064,5,2,Transfer
ROBOD,LSTM,256,0.15,10,32,333,25,0.841328,0.3262,0.824879,0.3743,0.341654422,0.75140984,0.426026484,5,2,Transfer
ROBOD,LSTM,256,0.15,10,32,4444,25,0.842187,0.3254,0.825747,0.3746,0.341331126,0.752145989,0.429147589,5,2,Transfer
ROBOD,LSTM,256,0.15,10,32,5555,25,0.837969,0.3305,0.8275,0.3738,0.344787292,0.759364668,0.425513966,5,2,Transfer
ROBOD,LSTM,256,0.15,10,32,66666,25,0.840703,0.3268,0.824896,0.3746,0.342348322,0.751844866,0.429099688,5,2,Transfer
ROBOD,LSTM,256,0.15,10,32,77777,25,0.841016,0.3261,0.824879,0.3746,0.341353166,0.751578683,0.428348385,5,2,Transfer
ROBOD,LSTM,256,0.15,10,32,888888,24,0.840781,0.3262,0.82533,0.3747,0.341950524,0.752352222,0.433531077,5,2,Transfer
ROBOD,LSTM,256,0.15,10,32,999999999,25,0.841641,0.3253,0.824879,0.3746,0.341360474,0.75140984,0.430562383,5,2,Transfer
ROBOD,LSTM,256,0.05,10,32,1111,12,0.659759,0.6603,0.573411,0.6841,0.422668208,0.485094378,0.57394357,1,2,No transfer
ROBOD,LSTM,256,0.05,10,32,22,17,0.678518,0.6631,0.582786,0.6714,0.434215241,0.488883638,0.579697748,1,2,No transfer
ROBOD,LSTM,256,0.05,10,32,333,23,0.670186,0.6714,0.588003,0.6757,0.438638159,0.509249197,0.532878523,1,2,No transfer
ROBOD,LSTM,256,0.05,10,32,4444,9,0.326405,0.7122,0.551377,0.6985,0.35203819,0.600249234,0.657141852,1,2,No transfer
ROBOD,LSTM,256,0.05,10,32,5555,8,0.414857,0.7294,0.4933,0.7025,0.38203155,0.584536749,0.634351812,1,2,No transfer
ROBOD,LSTM,256,0.05,10,32,66666,16,0.54596,0.7287,0.649484,0.6973,0.423537943,0.631137255,0.57984242,1,2,No transfer
ROBOD,LSTM,256,0.05,10,32,77777,21,0.674578,0.6533,0.584997,0.6611,0.43002595,0.487336521,0.503381951,1,2,No transfer
ROBOD,LSTM,256,0.05,10,32,888888,20,0.681144,0.662,0.588771,0.6683,0.429404433,0.485229979,0.519784235,1,2,No transfer
ROBOD,LSTM,256,0.05,10,32,999999999,18,0.674611,0.6541,0.59334,0.6671,0.438842671,0.513904279,0.571981965,1,2,No transfer
ROBOD,LSTM,256,0.05,10,32,1111,25,0.652689,0.7019,0.667479,0.6491,0.458954042,0.608698378,0.453082697,2,2,No transfer
ROBOD,LSTM,256,0.05,10,32,22,24,0.644397,0.6385,0.661613,0.6505,0.455907427,0.586763944,0.463974363,2,2,No transfer
ROBOD,LSTM,256,0.05,10,32,333,22,0.660126,0.7052,0.675424,0.6577,0.458865421,0.612600403,0.438748454,2,2,No transfer
ROBOD,LSTM,256,0.05,10,32,4444,25,0.701549,0.5818,0.669306,0.6137,0.457856677,0.582152942,0.406777115,2,2,No transfer
ROBOD,LSTM,256,0.05,10,32,5555,24,0.679827,0.6312,0.673464,0.6359,0.455873175,0.620797567,0.417352172,2,2,No transfer
ROBOD,LSTM,256,0.05,10,32,66666,22,0.687228,0.6456,0.645975,0.6318,0.453672196,0.56855034,0.439472581,2,2,No transfer
ROBOD,LSTM,256,0.05,10,32,77777,25,0.687449,0.631,0.631912,0.636,0.45444591,0.538483469,0.407364512,2,2,No transfer
ROBOD,LSTM,256,0.05,10,32,888888,25,0.653785,0.6557,0.666433,0.618,0.455392884,0.604362861,0.398523842,2,2,No transfer
ROBOD,LSTM,256,0.05,10,32,999999999,23,0.668073,0.6144,0.651841,0.6355,0.445813466,0.55514927,0.405280419,2,2,No transfer
ROBOD,LSTM,256,0.05,10,32,1111,25,0.688834,0.6784,0.696171,0.5946,0.460456991,0.623147968,0.406348512,3,2,No transfer
ROBOD,LSTM,256,0.05,10,32,22,25,0.661355,0.6265,0.712336,0.5598,0.445764329,0.64572871,0.395191562,3,2,No transfer
