Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,,,,
ROBOD,LSTM,256,0.05,10,32,0,25,0.836417,0.3396,0.750967,0.5328,0.43229204,0.678517295,0.431315464,2,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833384,0.3442,0.782581,0.4596,0.425354748,0.728233919,0.431315464,3,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833384,0.3442,0.782581,0.4596,0.425354748,0.728233919,0.431315464,3,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833384,0.3442,0.782581,0.4596,0.425354748,0.728233919,0.431315464,3,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833384,0.3442,0.782581,0.4596,0.425354748,0.728233919,0.431315464,3,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833384,0.3442,0.782581,0.4596,0.425354748,0.728233919,0.431315464,3,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833384,0.3442,0.782581,0.4596,0.425354748,0.728233919,0.431315464,3,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833384,0.3442,0.782581,0.4596,0.425354748,0.728233919,0.431315464,3,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833384,0.3442,0.782581,0.4596,0.425354748,0.728233919,0.431315464,3,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.833384,0.3442,0.782581,0.4596,0.425354748,0.728233919,0.431315464,3,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.84001,0.3308,0.831363,0.3725,0.388468576,0.773053351,0.453263288,4,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.84001,0.3308,0.831363,0.3725,0.388468576,0.773053351,0.453263288,4,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.84001,0.3308,0.831363,0.3725,0.388468576,0.773053351,0.453263288,4,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.84001,0.3308,0.831363,0.3725,0.388468576,0.773053351,0.453263288,4,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.84001,0.3308,0.831363,0.3725,0.388468576,0.773053351,0.453263288,4,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.84001,0.3308,0.831363,0.3725,0.388468576,0.773053351,0.453263288,4,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.84001,0.3308,0.831363,0.3725,0.388468576,0.773053351,0.453263288,4,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.84001,0.3308,0.831363,0.3725,0.388468576,0.773053351,0.453263288,4,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.84001,0.3308,0.831363,0.3725,0.388468576,0.773053351,0.453263288,4,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.843437,0.3252,0.823594,0.3839,0.337312154,0.744884614,0.453263288,5,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.843437,0.3252,0.823594,0.3839,0.337312154,0.744884614,0.453263288,5,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.843437,0.3252,0.823594,0.3839,0.337312154,0.744884614,0.453263288,5,2,
ROBOD,LSTM,256,0.05,10,32,0,25,0.843437,0.3252,0.823594,0.3839,0.337312154,0.744884614,0.453263288,5,2,
